"date","Overleden","Ontslagen","IC_to_Clinical_Alive"
"2020-02-27",0,0,0
"2020-02-28",0,0,0
"2020-02-29",0,0,0
"2020-03-01",0,0,1
"2020-03-02",0,0,1
"2020-03-03",0,0,1
"2020-03-04",0,2,1
"2020-03-05",0,2,1
"2020-03-06",0,2,2
"2020-03-07",0,3,1
"2020-03-08",2,3,1
"2020-03-09",2,3,1
"2020-03-10",2,3,2
"2020-03-11",4,3,2
"2020-03-12",5,3,2
"2020-03-13",5,4,2
"2020-03-14",5,7,5
"2020-03-15",7,7,6
"2020-03-16",12,8,6
"2020-03-17",14,8,9
"2020-03-18",17,12,10
"2020-03-19",25,12,12
"2020-03-20",30,14,17
"2020-03-21",41,16,27
"2020-03-22",47,18,30
"2020-03-23",64,21,42
"2020-03-24",74,25,47
"2020-03-25",85,31,54
"2020-03-26",103,41,57
"2020-03-27",117,47,74
"2020-03-28",135,51,90
"2020-03-29",160,61,103
"2020-03-30",180,69,122
"2020-03-31",214,86,132
"2020-04-01",238,104,142
"2020-04-02",260,119,153
"2020-04-03",292,140,161
"2020-04-04",311,154,177
"2020-04-05",335,163,197
"2020-04-06",355,187,210
"2020-04-07",383,211,240
"2020-04-08",400,236,251
"2020-04-09",412,263,257
"2020-04-10",440,290,264
"2020-04-11",455,311,283
"2020-04-12",470,329,311
"2020-04-13",491,344,335
"2020-04-14",503,394,328
"2020-04-15",519,448,327
"2020-04-16",538,499,311
"2020-04-17",556,547,309
"2020-04-18",567,570,326
"2020-04-19",586,576,350
"2020-04-20",605,629,337
"2020-04-21",625,682,336
"2020-04-22",642,728,332
"2020-04-23",654,775,310
"2020-04-24",665,840,276
"2020-04-25",680,856,285
"2020-04-26",689,866,298
"2020-04-27",700,875,315
"2020-04-28",706,926,299
"2020-04-29",712,963,298
"2020-04-30",725,1005,284
"2020-05-01",727,1044,288
"2020-05-02",736,1059,288
"2020-05-03",741,1066,303
"2020-05-04",747,1109,297
"2020-05-05",752,1124,310
"2020-05-06",758,1161,301
"2020-05-07",766,1201,294
"2020-05-08",771,1238,279
"2020-05-09",776,1246,288
"2020-05-10",777,1249,297
"2020-05-11",784,1290,292
"2020-05-12",787,1332,269
"2020-05-13",792,1367,267
"2020-05-14",796,1394,253
"2020-05-15",803,1429,232
"2020-05-16",805,1438,232
"2020-05-17",806,1442,236
"2020-05-18",806,1475,238
"2020-05-19",808,1507,217
"2020-05-20",814,1537,203
"2020-05-21",818,1542,209
"2020-05-22",821,1575,192
"2020-05-23",822,1578,196
"2020-05-24",823,1578,206
"2020-05-25",824,1601,210
"2020-05-26",828,1622,201
"2020-05-27",829,1645,186
"2020-05-28",831,1676,166
"2020-05-29",834,1697,153
"2020-05-30",834,1704,147
"2020-05-31",834,1704,154
"2020-06-01",837,1704,157
"2020-06-02",838,1728,151
"2020-06-03",843,1749,134
"2020-06-04",846,1769,117
"2020-06-05",846,1780,109
"2020-06-06",847,1782,110
"2020-06-07",847,1784,110
"2020-06-08",847,1801,102
"2020-06-09",848,1814,94
"2020-06-10",849,1826,85
"2020-06-11",849,1838,78
"2020-06-12",850,1848,72
"2020-06-13",851,1848,72
"2020-06-14",853,1850,70
"2020-06-15",854,1868,62
"2020-06-16",857,1873,62
"2020-06-17",859,1880,60
"2020-06-18",860,1887,61
"2020-06-19",861,1895,53
"2020-06-20",862,1896,56
"2020-06-21",863,1896,56
"2020-06-22",864,1900,59
"2020-06-23",865,1907,56
"2020-06-24",866,1913,51
"2020-06-25",866,1919,51
"2020-06-26",867,1923,51
"2020-06-27",868,1923,54
"2020-06-28",868,1923,54
"2020-06-29",868,1928,51
"2020-06-30",868,1935,47
"2020-07-01",868,1940,43
"2020-07-02",869,1944,41
"2020-07-03",869,1954,31
"2020-07-04",869,1954,33
"2020-07-05",869,1955,33
"2020-07-06",870,1960,30
"2020-07-07",871,1962,30
"2020-07-08",871,1967,26
"2020-07-09",871,1971,22
"2020-07-10",871,1971,23
"2020-07-11",871,1971,23
"2020-07-12",872,1973,22
"2020-07-13",873,1974,23
"2020-07-14",873,1975,23
"2020-07-15",873,1977,23
"2020-07-16",873,1982,18
"2020-07-17",873,1982,19
"2020-07-18",873,1982,19
"2020-07-19",873,1982,20
"2020-07-20",874,1987,16
"2020-07-21",874,1989,17
"2020-07-22",875,1993,15
"2020-07-23",875,1995,15
"2020-07-24",875,1999,15
"2020-07-25",875,2000,16
