"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,41,0,0,0,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,44,0,0,0,3,1,2,1
"2020-02-29",2,0,0,0,9,4,9,45,0,0,0,2,0,2,1
"2020-03-01",6,1,2,0,11,5,11,52,0,0,1,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,62,0,0,1,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,67,0,0,1,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,76,0,2,1,10,3,6,1
"2020-03-05",9,0,1,1,15,8,18,83,0,2,1,9,2,6,2
"2020-03-06",13,1,4,0,19,11,22,96,0,2,2,14,4,7,2
"2020-03-07",5,3,3,0,21,12,25,104,0,3,1,8,3,10,2
"2020-03-08",13,5,6,0,27,16,31,120,2,3,1,18,6,15,2
"2020-03-09",18,5,5,1,31,18,38,140,2,3,2,23,6,20,3
"2020-03-10",18,4,9,0,37,19,47,156,2,3,2,22,9,24,3
"2020-03-11",38,4,8,0,46,21,57,192,4,3,2,42,8,28,3
"2020-03-12",49,4,23,0,67,28,80,239,5,3,2,53,23,32,3
"2020-03-13",58,4,13,0,78,31,94,293,5,4,2,62,13,36,3
"2020-03-14",50,3,17,0,94,39,112,332,6,6,5,53,17,39,3
"2020-03-15",57,8,27,0,118,47,140,375,10,6,8,65,27,47,3
"2020-03-16",120,18,32,0,146,53,173,491,15,7,9,138,32,65,3
"2020-03-17",119,13,34,0,175,56,209,571,17,7,12,132,34,78,3
"2020-03-18",147,15,50,0,224,60,263,687,22,10,13,162,50,93,3
"2020-03-19",201,26,57,1,281,68,327,856,29,10,15,227,58,119,4
"2020-03-20",195,25,82,0,356,70,414,1009,34,12,21,220,82,144,4
"2020-03-21",174,12,72,3,424,70,495,1086,47,14,28,186,75,156,7
"2020-03-22",210,17,71,1,477,70,569,1184,52,17,30,227,72,173,8
"2020-03-23",379,27,98,1,568,72,669,1476,69,19,42,406,99,200,9
"2020-03-24",383,23,107,0,648,73,781,1707,76,23,47,406,107,223,9
"2020-03-25",412,24,114,1,747,74,900,1912,88,27,57,436,115,247,10
"2020-03-26",405,34,104,2,833,74,1013,2116,110,37,59,439,106,281,12
"2020-03-27",519,36,111,1,919,74,1130,2360,124,43,74,555,112,317,13
"2020-03-28",281,25,99,2,986,74,1235,2304,140,47,90,306,101,342,15
"2020-03-29",225,19,88,1,1037,74,1328,2257,166,58,101,244,89,361,16
"2020-03-30",369,27,127,3,1126,74,1461,2382,185,67,120,396,130,388,19
"2020-03-31",279,40,107,0,1189,74,1571,2341,217,83,128,319,107,428,19
"2020-04-01",269,41,71,1,1206,75,1645,2242,237,101,138,310,72,469,20
