"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
"2020-02-27",2,2,1,0,8,6,8,48,0,0,0,50,4,1,2,0,1
"2020-02-28",3,0,0,1,9,7,9,51,0,0,0,53,3,1,2,1,1
"2020-02-29",1,0,0,0,10,6,10,51,0,0,0,54,1,0,2,1,1
"2020-03-01",7,1,2,0,12,7,12,59,0,0,1,62,8,2,3,1,3
"2020-03-02",10,1,0,0,11,6,12,70,0,0,1,73,11,0,4,1,3
"2020-03-03",8,0,1,0,13,6,14,77,0,0,1,81,8,1,4,1,4
"2020-03-04",10,3,3,0,16,8,17,89,0,2,1,94,13,3,7,1,7
"2020-03-05",12,1,1,1,16,10,19,99,0,2,1,106,13,2,8,2,8
"2020-03-06",18,1,4,0,20,13,23,114,0,2,2,122,19,4,9,2,12
"2020-03-07",7,3,3,0,22,14,26,123,0,3,1,131,10,3,12,2,15
"2020-03-08",17,5,6,0,28,18,32,141,2,3,1,151,22,6,17,2,21
"2020-03-09",26,5,5,2,33,20,40,165,2,3,2,180,31,7,22,4,26
"2020-03-10",28,4,9,1,40,21,50,188,2,3,2,209,32,10,26,5,35
"2020-03-11",43,6,9,0,49,23,60,225,4,3,2,253,49,9,32,5,44
"2020-03-12",55,4,23,0,69,29,83,270,5,3,2,306,59,23,36,5,67
"2020-03-13",73,6,13,0,80,32,97,337,5,4,2,382,79,13,42,5,80
"2020-03-14",62,3,18,0,97,40,116,378,5,7,5,439,65,18,45,5,98
"2020-03-15",69,8,27,1,121,48,145,426,7,7,6,510,77,28,53,6,125
"2020-03-16",140,19,32,0,151,54,178,557,13,8,6,663,159,32,72,6,157
"2020-03-17",144,13,35,0,180,57,215,643,15,8,9,804,157,35,85,6,192
"2020-03-18",171,16,50,0,229,61,269,766,18,12,10,977,187,50,101,6,242
"2020-03-19",249,26,59,2,288,69,336,968,26,12,12,1239,275,61,127,8,301
"2020-03-20",238,27,82,1,363,70,423,1144,31,14,17,1487,265,83,154,9,383
"2020-03-21",199,13,72,3,431,70,505,1227,43,16,26,1673,212,75,167,12,455
"2020-03-22",236,19,72,1,481,70,579,1332,49,19,27,1901,255,73,186,13,527
"2020-03-23",443,24,98,3,574,71,682,1650,66,22,39,2330,467,101,210,16,625
"2020-03-24",420,25,107,1,654,73,795,1903,75,26,44,2740,445,108,235,17,732
"2020-03-25",432,24,114,2,753,74,914,2118,88,31,52,3153,456,116,259,19,846
"2020-03-26",434,34,104,4,839,74,1028,2314,106,41,54,3578,468,108,293,23,950
"2020-03-27",556,36,113,1,928,74,1148,2577,121,47,71,4116,592,114,329,24,1063
"2020-03-28",293,27,99,2,993,74,1253,2513,140,51,87,4392,320,101,356,26,1162
"2020-03-29",253,18,86,3,1039,74,1345,2467,165,62,98,4620,271,89,374,29,1248
"2020-03-30",437,29,126,3,1127,74,1477,2614,185,71,117,5023,466,129,403,32,1374
"2020-03-31",307,42,109,1,1192,74,1590,2544,219,89,125,5316,349,110,445,33,1483
"2020-04-01",312,42,72,3,1209,75,1664,2451,244,107,135,5625,354,75,487,36,1555
"2020-04-02",350,41,88,3,1250,75,1761,2432,266,121,148,5962,391,91,528,39,1643
"2020-04-03",330,56,76,0,1277,75,1840,2435,298,142,156,6308,386,76,584,39,1719
"2020-04-04",186,24,62,3,1281,74,1906,2225,317,156,173,6478,210,65,608,42,1781
"2020-04-05",225,21,72,3,1305,75,1984,2173,340,165,194,6676,246,75,629,45,1853
"2020-04-06",321,56,60,1,1313,75,2047,2292,358,189,207,7013,377,61,685,46,1913
"2020-04-07",203,54,55,2,1315,76,2107,2157,388,211,240,7234,257,57,739,48,1968
"2020-04-08",208,32,55,0,1282,76,2166,2021,405,236,252,7440,240,55,771,48,2023
"2020-04-09",187,38,49,1,1277,76,2217,1847,417,264,257,7630,225,50,809,49,2072
"2020-04-10",203,38,48,1,1284,75,2268,1757,445,293,264,7839,241,49,847,50,2120
"2020-04-11",132,20,26,2,1249,75,2297,1567,460,313,285,7970,152,28,867,52,2146
"2020-04-12",135,33,34,1,1231,75,2333,1509,475,331,313,8122,168,35,900,53,2180
"2020-04-13",166,33,43,1,1214,75,2378,1503,496,346,338,8289,199,44,933,54,2223
"2020-04-14",163,37,34,2,1191,76,2415,1522,506,397,332,8464,200,36,970,56,2257
"2020-04-15",117,17,23,1,1166,76,2440,1432,523,453,328,8580,134,24,987,57,2280
"2020-04-16",115,23,28,2,1133,76,2470,1319,541,503,313,8696,138,30,1010,59,2308
"2020-04-17",137,27,25,1,1103,77,2496,1275,559,550,313,8836,164,26,1037,60,2333
"2020-04-18",78,14,19,0,1057,76,2515,1130,570,573,329,8909,92,19,1051,60,2352
"2020-04-19",82,15,19,1,1028,76,2535,1104,589,579,351,8989,97,20,1066,61,2371
"2020-04-20",109,24,25,1,1009,76,2562,1144,608,635,335,9096,133,26,1090,62,2396
"2020-04-21",116,26,20,0,972,76,2584,1099,629,687,333,9212,142,20,1116,62,2416
"2020-04-22",89,23,14,0,916,77,2599,1018,645,733,328,9311,112,14,1139,62,2430
"2020-04-23",95,36,16,0,874,77,2615,976,658,780,306,9426,131,16,1175,62,2446
"2020-04-24",78,26,17,1,857,76,2634,922,668,842,273,9514,104,18,1201,63,2463
"2020-04-25",44,23,13,0,827,76,2648,796,682,859,278,9573,67,13,1224,63,2476
"2020-04-26",43,27,13,0,803,76,2661,771,692,868,293,9632,70,13,1251,63,2489
"2020-04-27",60,17,14,0,780,76,2675,756,703,877,310,9698,77,14,1268,63,2503
"2020-04-28",91,28,14,1,759,76,2691,773,709,927,295,9797,119,15,1296,64,2517
"2020-04-29",58,21,11,0,731,76,2703,715,715,963,296,9859,79,11,1317,64,2528
"2020-04-30",62,24,17,2,707,76,2722,694,728,1006,281,9934,86,19,1341,66,2545
"2020-05-01",51,11,9,0,672,76,2731,637,730,1047,283,9985,62,9,1352,66,2554
"2020-05-02",27,14,9,2,634,76,2742,551,739,1062,283,10021,41,11,1366,68,2563
"2020-05-03",36,10,10,0,620,76,2753,532,744,1069,297,10058,46,10,1376,68,2573
"2020-05-04",58,25,11,2,611,76,2765,579,750,1112,291,10128,83,13,1401,70,2584
"2020-05-05",28,8,3,0,569,76,2768,510,755,1126,305,10160,36,3,1409,70,2587
"2020-05-06",60,17,5,0,542,73,2774,527,761,1164,295,10227,77,5,1426,70,2592
