"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,10,7,10,51,0,0,0,53,4,1,2,0,1
2020-02-28,3,0,0,1,11,8,11,54,0,0,0,56,3,1,2,1,1
2020-02-29,1,0,0,0,12,7,12,54,0,0,0,57,1,0,2,1,1
2020-03-01,7,1,2,0,14,8,14,62,0,0,1,65,8,2,3,1,3
2020-03-02,10,1,0,0,13,7,14,73,0,0,1,76,11,0,4,1,3
2020-03-03,8,0,1,0,15,7,16,80,0,0,1,84,8,1,4,1,4
2020-03-04,10,3,3,0,18,9,19,92,0,2,1,97,13,3,7,1,7
2020-03-05,12,1,1,1,18,11,21,102,0,2,1,109,13,2,8,2,8
2020-03-06,18,1,4,0,22,14,25,117,0,2,2,125,19,4,9,2,12
2020-03-07,7,3,3,0,24,15,28,126,0,3,1,134,10,3,12,2,15
2020-03-08,17,5,6,0,30,19,34,144,2,3,1,154,22,6,17,2,21
2020-03-09,27,5,5,2,35,21,42,169,2,3,1,184,32,7,22,4,26
2020-03-10,28,4,9,1,43,23,52,192,2,3,2,213,32,10,26,5,35
2020-03-11,43,6,9,0,51,24,62,229,4,3,2,257,49,9,32,5,44
2020-03-12,55,4,23,0,71,30,85,274,5,3,2,310,59,23,36,5,67
2020-03-13,73,6,13,0,82,33,99,341,5,4,2,386,79,13,42,5,80
2020-03-14,62,3,19,0,100,42,119,382,5,7,5,443,65,19,45,5,99
2020-03-15,69,8,26,1,123,49,147,430,7,7,6,514,77,27,53,6,125
2020-03-16,140,19,33,0,154,55,181,561,12,8,6,667,159,33,72,6,158
2020-03-17,144,13,35,0,184,59,218,647,14,8,9,808,157,35,85,6,193
2020-03-18,171,15,51,0,234,63,273,769,17,12,10,980,186,51,100,6,244
2020-03-19,250,25,58,2,292,70,339,971,25,12,12,1242,275,60,125,8,302
2020-03-20,238,27,82,1,367,71,426,1147,30,14,17,1490,265,83,152,9,384
2020-03-21,199,13,72,3,436,71,508,1230,42,16,26,1676,212,75,165,12,456
2020-03-22,236,19,72,1,486,71,582,1336,48,19,27,1904,255,73,184,13,528
2020-03-23,444,24,98,3,579,71,685,1655,65,22,39,2334,468,101,208,16,626
2020-03-24,420,25,108,1,660,73,799,1906,75,26,44,2743,445,109,233,17,734
2020-03-25,432,24,114,2,758,74,918,2121,88,31,52,3156,456,116,257,19,848
2020-03-26,434,34,103,4,843,74,1031,2317,106,41,55,3581,468,107,291,23,951
2020-03-27,557,36,113,1,930,74,1151,2581,121,47,72,4120,593,114,327,24,1064
2020-03-28,293,27,98,2,994,74,1255,2516,140,51,88,4395,320,100,354,26,1162
2020-03-29,253,18,87,2,1040,74,1347,2470,164,62,99,4623,271,89,372,28,1249
2020-03-30,437,29,126,3,1129,74,1479,2617,184,71,118,5025,466,129,401,31,1375
2020-03-31,308,42,109,1,1194,74,1592,2548,218,89,126,5319,350,110,443,32,1484
2020-04-01,312,42,72,3,1211,75,1666,2455,243,107,136,5628,354,75,485,35,1556
2020-04-02,350,41,90,3,1254,75,1765,2436,265,122,148,5965,391,93,526,38,1646
2020-04-03,330,56,76,0,1281,75,1844,2439,297,143,156,6311,386,76,582,38,1722
2020-04-04,186,24,62,3,1285,74,1910,2229,316,157,173,6481,210,65,606,41,1784
2020-04-05,225,21,73,3,1310,75,1989,2177,339,166,194,6679,246,76,627,44,1857
2020-04-06,322,56,60,1,1318,75,2052,2296,357,190,207,7017,378,61,683,45,1917
2020-04-07,203,54,55,2,1320,76,2112,2161,387,212,240,7238,257,57,737,47,1972
2020-04-08,208,32,55,0,1287,76,2171,2024,404,237,252,7444,240,55,769,47,2027
2020-04-09,187,38,49,1,1282,76,2222,1850,416,265,257,7634,225,50,807,48,2076
2020-04-10,203,38,48,1,1289,75,2273,1760,444,294,264,7843,241,49,845,49,2124
