"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,43,0,0,0,3,1,2,1
"2020-02-29",1,0,0,0,9,4,9,43,0,0,0,1,0,2,1
"2020-03-01",6,1,2,0,11,5,11,50,0,0,1,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,60,0,0,1,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,65,0,0,1,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,74,0,2,1,10,3,6,1
"2020-03-05",10,0,1,1,15,8,18,82,0,2,1,10,2,6,2
"2020-03-06",14,1,4,0,19,11,22,96,0,2,2,15,4,7,2
"2020-03-07",6,3,3,0,21,12,25,105,0,3,1,9,3,10,2
"2020-03-08",13,5,6,0,27,16,31,121,2,3,1,18,6,15,2
"2020-03-09",20,5,5,1,31,18,38,143,2,3,2,25,6,20,3
"2020-03-10",22,5,9,0,37,19,47,164,2,3,2,27,9,25,3
"2020-03-11",39,4,9,0,46,21,57,201,4,3,2,43,9,29,3
"2020-03-12",51,4,23,0,67,28,80,248,5,3,2,55,23,33,3
"2020-03-13",64,4,13,0,78,31,94,308,5,4,2,68,13,37,3
"2020-03-14",52,3,17,0,94,39,112,347,6,6,6,55,17,40,3
"2020-03-15",60,8,27,0,117,47,140,391,10,6,8,68,27,48,3
"2020-03-16",125,19,32,0,146,53,173,510,15,7,9,144,32,67,3
"2020-03-17",127,13,34,0,175,56,209,595,17,7,12,140,34,80,3
"2020-03-18",155,16,50,0,224,60,263,716,22,10,13,171,50,96,3
"2020-03-19",215,26,57,1,281,68,327,898,29,10,15,241,58,122,4
"2020-03-20",203,25,82,0,356,70,414,1048,34,12,21,228,82,147,4
"2020-03-21",184,12,72,3,424,70,495,1127,47,14,28,196,75,159,7
"2020-03-22",219,17,71,1,477,69,569,1228,52,17,29,236,72,176,8
"2020-03-23",395,26,98,1,569,71,669,1528,69,19,41,421,99,202,9
"2020-03-24",392,24,107,0,650,73,781,1760,76,22,46,416,107,226,9
"2020-03-25",420,24,114,1,750,74,900,1970,88,26,55,444,115,250,10
"2020-03-26",419,34,104,1,836,74,1012,2176,110,36,57,453,105,284,11
"2020-03-27",524,34,112,1,923,73,1130,2408,124,42,73,558,113,318,12
"2020-03-28",287,25,99,2,989,73,1235,2340,142,46,90,312,101,343,14
"2020-03-29",237,20,88,1,1037,74,1328,2302,168,57,101,257,89,363,15
"2020-03-30",397,26,127,3,1126,74,1461,2450,187,66,120,423,130,389,18
"2020-03-31",288,39,107,0,1189,74,1571,2407,219,82,128,327,107,428,18
"2020-04-01",279,43,71,1,1206,75,1645,2310,239,100,137,322,72,471,19
"2020-04-02",314,41,88,2,1251,75,1743,2310,262,114,150,355,90,512,21
"2020-04-03",293,54,76,0,1279,75,1822,2305,295,136,158,347,76,566,21
"2020-04-04",177,23,62,2,1281,74,1887,2121,314,149,176,200,64,589,23
"2020-04-05",205,21,72,1,1301,75,1962,2084,336,158,197,226,73,610,24
"2020-04-06",286,58,60,0,1310,75,2024,2190,354,180,211,344,60,668,24
"2020-04-07",191,52,55,0,1312,75,2082,2064,387,201,244,243,55,720,24
"2020-04-08",189,32,55,0,1281,75,2141,1938,403,225,257,221,55,752,24
"2020-04-09",170,35,50,0,1278,75,2192,1771,414,253,262,205,50,787,24
"2020-04-10",192,38,48,0,1283,75,2241,1693,443,279,270,230,48,825,24
"2020-04-11",130,23,26,2,1249,75,2270,1516,458,298,290,153,28,848,26
"2020-04-12",121,36,34,1,1231,75,2305,1463,471,314,318,157,35,884,27
"2020-04-13",147,37,44,0,1217,75,2351,1469,493,329,344,184,44,921,27
"2020-04-14",146,35,33,2,1190,76,2387,1488,502,378,338,181,35,956,29
"2020-04-15",106,19,22,1,1165,76,2411,1400,520,429,337,125,23,975,30
"2020-04-16",104,24,28,0,1133,76,2440,1292,537,477,324,128,28,999,30
"2020-04-17",135,26,25,0,1104,76,2466,1256,556,521,327,161,25,1025,30
"2020-04-18",72,18,18,0,1057,76,2484,1117,570,543,344,90,18,1043,30
"2020-04-19",75,15,19,0,1027,76,2504,1089,586,549,367,90,19,1058,30
"2020-04-20",99,30,25,1,1007,76,2531,1139,605,604,353,129,26,1088,31
"2020-04-21",105,34,20,0,971,76,2553,1108,626,654,353,139,20,1122,31
"2020-04-22",81,26,14,0,915,77,2568,1035,643,697,348,107,14,1148,31
"2020-04-23",88,43,16,0,874,77,2584,1001,657,742,327,131,16,1191,31
"2020-04-24",76,31,17,1,857,76,2603,954,669,801,297,107,18,1222,32
"2020-04-25",38,26,13,0,828,76,2617,827,679,818,302,64,13,1248,32
"2020-04-26",38,27,13,0,805,76,2630,798,692,825,320,65,13,1275,32
"2020-04-27",55,25,14,0,781,76,2644,794,703,835,336,80,14,1300,32
"2020-04-28",83,32,14,1,760,76,2659,820,707,882,324,115,15,1332,33
"2020-04-29",55,25,11,0,732,76,2671,761,713,919,324,80,11,1357,33
"2020-04-30",57,25,18,0,707,76,2689,737,724,958,314,82,18,1382,33
"2020-05-01",50,16,9,0,672,76,2698,686,727,998,316,66,9,1398,33
"2020-05-02",26,15,9,0,632,76,2707,600,737,1012,317,41,9,1413,33
"2020-05-03",35,11,10,0,619,76,2718,585,742,1019,329,46,10,1424,33
"2020-05-04",57,22,11,1,609,76,2730,630,748,1059,326,79,12,1446,34
"2020-05-05",28,9,3,0,568,76,2733,547,754,1071,341,37,3,1455,34
"2020-05-06",52,19,5,0,541,73,2739,563,759,1107,333,71,5,1474,34
"2020-05-07",44,16,8,1,520,72,2749,537,767,1143,329,60,9,1490,35
"2020-05-08",53,24,7,0,488,72,2756,530,771,1177,318,77,7,1514,35
"2020-05-09",29,8,5,0,466,72,2761,475,777,1186,326,37,5,1522,35
"2020-05-10",22,19,4,1,449,72,2766,464,779,1189,335,41,5,1541,36
"2020-05-11",41,24,7,1,443,73,2774,493,786,1226,334,65,8,1565,37
"2020-05-12",23,29,2,0,401,71,2776,468,789,1268,312,52,2,1594,37
"2020-05-13",34,26,3,1,383,71,2780,444,793,1300,309,60,4,1620,38
"2020-05-14",22,20,8,2,359,71,2790,419,796,1328,297,42,10,1640,40
"2020-05-15",31,23,3,0,342,71,2794,402,802,1363,276,54,3,1663,40
"2020-05-16",16,6,7,1,327,70,2803,349,803,1373,275,22,8,1669,41
"2020-05-17",28,12,4,0,322,70,2808,364,803,1377,280,40,4,1681,41
"2020-05-18",36,22,4,0,316,70,2812,406,804,1409,283,58,4,1703,41
"2020-05-19",15,11,1,1,283,67,2814,380,806,1440,265,26,2,1714,42
"2020-05-20",29,17,2,0,272,66,2817,372,811,1471,250,46,2,1731,42
"2020-05-21",14,7,2,0,251,66,2819,334,815,1477,256,21,2,1738,42
"2020-05-22",28,18,4,0,240,66,2824,359,818,1509,241,46,4,1756,42
"2020-05-23",12,7,3,0,223,63,2827,318,819,1512,244,19,3,1763,42
"2020-05-24",18,13,7,0,222,63,2834,316,821,1512,254,31,7,1776,42
"2020-05-25",33,22,1,0,212,62,2835,349,822,1535,257,55,1,1798,42
"2020-05-26",25,14,4,0,189,62,2839,345,824,1554,250,39,4,1812,42
"2020-05-27",18,14,3,1,174,58,2843,322,825,1578,235,32,4,1826,43
"2020-05-28",14,12,1,0,166,57,2844,297,827,1609,215,26,1,1838,43
"2020-05-29",23,13,1,2,156,56,2847,296,830,1629,203,36,3,1851,45
"2020-05-30",20,5,2,0,146,54,2849,278,830,1636,198,25,2,1856,45
"2020-05-31",7,7,3,0,147,54,2852,269,830,1636,205,14,3,1863,45
"2020-06-01",12,7,4,0,144,53,2856,275,832,1636,208,19,4,1870,45
"2020-06-02",18,16,1,0,140,53,2857,295,832,1661,200,34,1,1886,45
"2020-06-03",16,9,4,1,128,50,2862,286,837,1681,185,25,5,1895,46
"2020-06-04",13,18,5,0,124,52,2867,278,839,1700,168,31,5,1913,46
"2020-06-05",9,9,3,0,122,51,2870,260,839,1710,160,18,3,1922,46
