"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
"2020-02-27",2,2,1,0,8,6,8,47,0,0,0,49,4,1,2,0,1
"2020-02-28",3,0,0,1,9,7,9,50,0,0,0,52,3,1,2,1,1
"2020-02-29",1,0,0,0,10,6,10,50,0,0,0,53,1,0,2,1,1
"2020-03-01",7,1,2,0,12,7,12,58,0,0,1,61,8,2,3,1,3
"2020-03-02",10,1,0,0,11,6,12,69,0,0,1,72,11,0,4,1,3
"2020-03-03",8,0,1,0,13,6,14,76,0,0,1,80,8,1,4,1,4
"2020-03-04",10,3,3,0,16,8,17,88,0,2,1,93,13,3,7,1,7
"2020-03-05",12,1,1,1,16,10,19,98,0,2,1,105,13,2,8,2,8
"2020-03-06",18,1,4,0,20,13,23,113,0,2,2,121,19,4,9,2,12
"2020-03-07",7,3,3,0,22,14,26,122,0,3,1,130,10,3,12,2,15
"2020-03-08",17,5,6,0,28,18,32,140,2,3,1,150,22,6,17,2,21
"2020-03-09",26,5,5,2,33,20,40,164,2,3,2,179,31,7,22,4,26
"2020-03-10",28,4,9,1,40,21,50,187,2,3,2,208,32,10,26,5,35
"2020-03-11",43,6,9,0,49,23,60,224,4,3,2,252,49,9,32,5,44
"2020-03-12",55,4,23,0,69,29,83,269,5,3,2,305,59,23,36,5,67
"2020-03-13",73,6,13,0,80,32,97,336,5,4,2,381,79,13,42,5,80
"2020-03-14",62,3,18,0,97,40,116,377,5,7,5,438,65,18,45,5,98
"2020-03-15",69,8,27,1,121,48,145,425,7,7,6,509,77,28,53,6,125
"2020-03-16",140,19,32,0,151,54,178,556,13,8,6,662,159,32,72,6,157
"2020-03-17",144,13,35,0,180,57,215,642,15,8,9,803,157,35,85,6,192
