"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,43,0,0,0,3,1,2,1
"2020-02-29",1,0,0,0,9,4,9,43,0,0,0,1,0,2,1
"2020-03-01",6,1,2,0,11,5,11,50,0,0,1,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,60,0,0,1,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,65,0,0,1,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,74,0,2,1,10,3,6,1
"2020-03-05",10,0,1,1,15,8,18,82,0,2,1,10,2,6,2
"2020-03-06",14,1,4,0,19,11,22,96,0,2,2,15,4,7,2
"2020-03-07",6,3,3,0,21,12,25,105,0,3,1,9,3,10,2
"2020-03-08",13,5,6,0,27,16,31,121,2,3,1,18,6,15,2
"2020-03-09",20,5,5,1,31,18,38,143,2,3,2,25,6,20,3
"2020-03-10",22,5,9,0,37,19,47,164,2,3,2,27,9,25,3
"2020-03-11",39,4,8,0,46,21,57,201,4,3,2,43,8,29,3
"2020-03-12",51,4,23,0,67,28,80,248,5,3,2,55,23,33,3
"2020-03-13",64,4,13,0,78,31,94,308,5,4,2,68,13,37,3
"2020-03-14",52,3,17,0,94,39,112,347,6,6,5,55,17,40,3
"2020-03-15",60,8,27,0,118,47,140,391,10,6,8,68,27,48,3
"2020-03-16",125,19,32,0,146,53,173,510,15,7,9,144,32,67,3
"2020-03-17",127,13,34,0,175,56,209,595,17,7,12,140,34,80,3
"2020-03-18",154,16,50,0,224,60,263,716,22,10,13,170,50,96,3
"2020-03-19",215,26,57,1,281,68,327,897,29,10,15,241,58,122,4
"2020-03-20",203,25,82,0,356,70,414,1047,34,12,21,228,82,147,4
"2020-03-21",184,12,72,3,424,70,495,1125,47,14,28,196,75,159,7
"2020-03-22",219,17,71,1,477,70,569,1226,52,17,30,236,72,176,8
"2020-03-23",395,26,98,1,568,72,669,1526,69,19,42,421,99,202,9
"2020-03-24",392,24,107,0,648,73,781,1758,76,22,48,416,107,226,9
"2020-03-25",421,24,114,1,747,74,900,1969,88,26,58,445,115,250,10
"2020-03-26",419,34,104,1,832,74,1012,2175,110,36,60,453,105,284,11
"2020-03-27",523,34,112,1,919,74,1130,2407,124,42,75,557,113,318,12
"2020-03-28",287,25,99,2,986,74,1235,2340,141,46,91,312,101,343,14
"2020-03-29",238,20,88,1,1036,74,1328,2302,167,57,102,258,89,363,15
"2020-03-30",395,27,127,3,1125,74,1461,2449,186,66,121,422,130,390,18
"2020-03-31",289,39,107,0,1188,74,1571,2407,218,82,129,328,107,429,18
"2020-04-01",279,43,71,1,1205,75,1645,2308,238,100,138,322,72,472,19
"2020-04-02",314,42,88,2,1250,75,1743,2310,261,114,151,356,90,514,21
"2020-04-03",292,54,76,0,1278,75,1822,2305,294,136,159,346,76,568,21
"2020-04-04",177,23,62,2,1280,74,1887,2121,313,149,177,200,64,591,23
"2020-04-05",205,20,72,1,1301,75,1963,2083,335,158,198,225,73,611,24
"2020-04-06",285,59,60,0,1309,75,2025,2188,353,180,212,344,60,670,24
"2020-04-07",191,52,55,0,1311,75,2083,2062,386,201,243,243,55,722,24
"2020-04-08",188,32,56,0,1283,76,2143,1936,402,225,257,220,56,754,24
"2020-04-09",170,35,50,0,1279,75,2194,1768,413,253,262,205,50,789,24
"2020-04-10",192,38,48,0,1284,75,2243,1690,442,279,270,230,48,827,24
"2020-04-11",130,23,26,2,1250,75,2272,1513,457,298,290,153,28,850,26
"2020-04-12",120,36,34,1,1232,75,2307,1459,470,315,316,156,35,886,27
"2020-04-13",147,37,44,0,1219,76,2353,1465,492,330,343,184,44,923,27
"2020-04-14",145,37,33,2,1191,76,2389,1486,501,379,337,182,35,960,29
"2020-04-15",106,20,22,1,1166,76,2413,1399,519,430,336,126,23,980,30
"2020-04-16",104,24,28,0,1134,76,2442,1292,537,478,323,128,28,1004,30
"2020-04-17",135,26,25,0,1104,76,2468,1256,556,522,326,161,25,1030,30
"2020-04-18",73,18,18,0,1057,76,2486,1119,570,544,343,91,18,1048,30
"2020-04-19",76,15,18,0,1026,76,2505,1092,586,550,365,91,18,1063,30
"2020-04-20",99,30,25,1,1007,76,2532,1139,604,605,351,129,26,1093,31
"2020-04-21",105,34,20,0,972,76,2554,1109,625,655,351,139,20,1127,31
"2020-04-22",80,25,14,0,916,77,2569,1032,642,698,345,105,14,1152,31
"2020-04-23",87,43,16,0,876,77,2585,997,656,743,324,130,16,1195,31
"2020-04-24",76,31,17,1,859,76,2604,952,668,802,295,107,18,1226,32
"2020-04-25",38,26,13,0,829,76,2618,823,678,819,300,64,13,1252,32
"2020-04-26",37,27,13,0,806,76,2631,792,691,826,318,64,13,1279,32
"2020-04-27",55,25,14,0,782,76,2645,788,702,836,334,80,14,1304,32
"2020-04-28",84,33,14,1,761,76,2660,817,706,883,322,117,15,1337,33
"2020-04-29",55,25,11,0,733,76,2672,757,712,919,322,80,11,1362,33
"2020-04-30",57,25,18,0,708,76,2690,733,723,958,312,82,18,1387,33
"2020-05-01",50,16,9,0,673,76,2699,683,726,997,315,66,9,1403,33
"2020-05-02",26,15,9,0,633,76,2708,598,736,1012,315,41,9,1418,33
"2020-05-03",35,11,10,0,620,76,2719,584,741,1019,327,46,10,1429,33
"2020-05-04",57,22,11,1,610,76,2731,629,747,1058,324,79,12,1451,34
"2020-05-05",28,9,3,0,569,76,2734,546,753,1070,339,37,3,1460,34
"2020-05-06",51,21,5,0,542,73,2740,563,758,1106,331,72,5,1481,34
"2020-05-07",44,16,8,1,521,72,2750,537,766,1142,327,60,9,1497,35
"2020-05-08",53,25,7,0,489,72,2757,532,770,1176,316,78,7,1522,35
"2020-05-09",29,7,5,0,467,72,2762,477,776,1185,324,36,5,1529,35
"2020-05-10",22,19,4,1,450,72,2767,466,778,1188,333,41,5,1548,36
"2020-05-11",41,25,7,1,444,73,2775,497,785,1225,332,66,8,1573,37
"2020-05-12",23,29,2,0,402,71,2777,472,788,1266,310,52,2,1602,37
"2020-05-13",34,27,3,1,384,71,2781,449,792,1299,306,61,4,1629,38
"2020-05-14",22,22,8,2,360,71,2791,426,795,1327,294,44,10,1651,40
"2020-05-15",31,26,3,0,343,71,2795,412,801,1362,273,57,3,1677,40
"2020-05-16",16,6,7,1,328,70,2804,360,802,1372,272,22,8,1683,41
"2020-05-17",28,12,4,0,323,70,2809,375,802,1376,277,40,4,1695,41
"2020-05-18",36,22,4,0,317,70,2813,416,803,1408,280,58,4,1717,41
"2020-05-19",14,12,1,1,284,67,2815,389,805,1437,264,26,2,1729,42
"2020-05-20",29,17,2,0,273,66,2818,383,810,1465,252,46,2,1746,42
"2020-05-21",14,8,2,0,252,66,2820,346,814,1471,258,22,2,1754,42
"2020-05-22",28,19,4,0,241,66,2825,371,817,1504,241,47,4,1773,42
"2020-05-23",12,7,3,0,224,63,2828,331,818,1507,244,19,3,1780,42
"2020-05-24",18,13,7,0,223,63,2835,329,820,1507,254,31,7,1793,42
"2020-05-25",31,22,1,0,213,62,2836,360,821,1529,258,53,1,1815,42
"2020-05-26",25,15,4,0,190,62,2840,359,823,1547,252,40,4,1830,42
"2020-05-27",18,14,3,1,175,58,2844,334,824,1571,237,32,4,1844,43
"2020-05-28",14,12,1,0,167,57,2845,308,826,1600,219,26,1,1856,43
"2020-05-29",23,13,1,2,157,56,2848,308,829,1620,207,36,3,1869,45
"2020-05-30",20,5,2,0,147,54,2850,289,829,1627,202,25,2,1874,45
"2020-05-31",7,7,3,0,148,54,2853,280,829,1627,209,14,3,1881,45
"2020-06-01",12,7,4,0,145,53,2857,286,831,1627,212,19,4,1888,45
"2020-06-02",17,16,1,0,141,53,2858,305,831,1652,204,33,1,1904,45
"2020-06-03",16,9,4,1,129,50,2863,298,836,1672,189,25,5,1913,46
"2020-06-04",13,18,5,0,125,52,2868,291,838,1690,173,31,5,1931,46
"2020-06-05",9,10,3,0,123,51,2871,274,838,1700,165,19,3,1941,46
