"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal"
"2021-06-03",0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,7
"2021-06-04",0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,4
"2021-06-05",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3
"2021-06-06",0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,6
"2021-06-07",0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,1,10
"2021-06-08",1,0,0,0,0,0,0,0,-1,-1,1,0,0,1,1,0,2
"2021-06-09",0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,5
"2021-06-10",0,0,0,0,0,0,0,0,1,1,0,2,4,2,1,0,11
"2021-06-11",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
"2021-06-12",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
"2021-06-13",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
"2021-06-14",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
"2021-06-15",0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,5
"2021-06-16",0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-2,0,1,-5
"2021-06-17",0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,7
"2021-06-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-06-19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2021-06-20",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"2021-06-21",-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2
"2021-06-22",0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4
"2021-06-23",0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,1
"2021-06-24",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"2021-06-25",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2021-06-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-06-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-06-28",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"2021-06-29",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2021-06-30",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
"2021-07-01",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2021-07-02",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2021-07-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-07",0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,9
"2021-07-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-07-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2021-07-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
