date,lower,mid,upper
2020-10-07,1.04,1.14,1.21
2020-10-08,1.03,1.13,1.2
2020-10-09,1.02,1.12,1.19
2020-10-10,1.02,1.12,1.19
2020-10-11,1.02,1.11,1.18
2020-10-12,1.03,1.11,1.17
2020-10-13,1.04,1.11,1.17
2020-10-14,1.05,1.11,1.17
2020-10-15,1.03,1.1,1.17
2020-10-16,1.02,1.09,1.17
2020-10-17,1,1.07,1.17
2020-10-18,0.97,1.04,1.14
2020-10-19,0.95,1.02,1.11
2020-10-20,0.92,0.98,1.07
2020-10-21,0.89,0.95,1.03
2020-10-22,0.86,0.91,0.98
2020-10-23,0.82,0.88,0.93
2020-10-24,0.79,0.85,0.9
2020-10-25,0.76,0.82,0.88
2020-10-26,0.73,0.8,0.86
2020-10-27,0.71,0.79,0.85
2020-10-28,0.7,0.78,0.85
2020-10-29,0.7,0.78,0.85
2020-10-30,0.71,0.79,0.85
2020-10-31,0.73,0.81,0.86
2020-11-01,0.77,0.83,0.88
2020-11-02,0.8,0.86,0.91
2020-11-03,0.83,0.89,0.95
2020-11-04,0.86,0.92,0.99
2020-11-05,0.88,0.94,1.03
2020-11-06,0.9,0.97,1.07
2020-11-07,0.91,0.99,1.1
2020-11-08,0.93,1.01,1.11
2020-11-09,0.94,1.02,1.11
2020-11-10,0.94,1.01,1.1
2020-11-11,0.95,1.01,1.08
2020-11-12,0.94,1,1.06
2020-11-13,0.92,0.99,1.05
2020-11-14,0.9,0.98,1.03
2020-11-15,0.88,0.97,1.02
2020-11-16,0.87,0.96,1.02
2020-11-17,0.87,0.96,1.02
2020-11-18,0.88,0.96,1.03
2020-11-19,0.89,0.97,1.04
2020-11-20,0.91,0.98,1.05
2020-11-21,0.94,1,1.07
2020-11-22,0.97,1.03,1.09
2020-11-23,1,1.06,1.12
2020-11-24,1.03,1.09,1.16
2020-11-25,1.06,1.12,1.2
2020-11-26,1.09,1.15,1.23
2020-11-27,1.11,1.17,1.26
2020-11-28,1.13,1.2,1.28
2020-11-29,1.15,1.22,1.3
2020-11-30,1.16,1.23,1.31
2020-12-01,1.17,1.24,1.32
2020-12-02,1.17,1.24,1.32
2020-12-03,1.17,1.24,1.32
2020-12-04,1.16,1.23,1.31
2020-12-05,1.15,1.22,1.29
2020-12-06,1.14,1.21,1.28
2020-12-07,1.12,1.19,1.26
2020-12-08,1.1,1.17,1.25
2020-12-09,1.08,1.15,1.23
2020-12-10,1.05,1.12,1.21
2020-12-11,1.02,1.1,1.18
2020-12-12,0.98,1.07,1.15
2020-12-13,0.94,1.04,1.14
2020-12-14,0.9,1.01,1.13
2020-12-15,0.84,0.98,1.12
2020-12-16,0.78,0.96,1.13
2020-12-17,0.71,0.94,1.13
2020-12-18,0.65,0.92,1.16
2020-12-19,0.58,0.9,1.19
2020-12-20,0.53,0.88,1.22
2020-12-21,0.46,0.87,1.26
2020-12-22,0.43,0.86,1.31
2020-12-23,0.38,0.85,1.38
