"total","date_start_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1609632000,1615986120,2021-03-17
197730,1609718400,1610236800,1615986120,2021-03-17
346320,1610323200,1610841600,1615986120,2021-03-17
544380,1610928000,1611446400,1615986120,2021-03-17
636810,1611532800,1612051200,1615986120,2021-03-17
847890,1612137600,1612656000,1615986120,2021-03-17
1086210,1612742400,1613260800,1615986120,2021-03-17
1378770,1613347200,1613865600,1615986120,2021-03-17
1732860,1613952000,1614470400,1615986120,2021-03-17
2153320,1614556800,1615075200,1615986120,2021-03-17
2578060,1615161600,1615680000,1615986120,2021-03-17
