"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1615766400,1609632000,1616418129,2021-03-22
197730,1609718400,1615766400,1610236800,1616418129,2021-03-22
346320,1610323200,1615766400,1610841600,1616418129,2021-03-22
544380,1610928000,1615766400,1611446400,1616418129,2021-03-22
636810,1611532800,1615766400,1612051200,1616418129,2021-03-22
847890,1612137600,1615766400,1612656000,1616418129,2021-03-22
1086210,1612742400,1615766400,1613260800,1616418129,2021-03-22
1378770,1613347200,1615766400,1613865600,1616418129,2021-03-22
1732860,1613952000,1615766400,1614470400,1616418129,2021-03-22
2153320,1614556800,1615766400,1615075200,1616418129,2021-03-22
2578060,1615161600,1615766400,1615680000,1616418129,2021-03-22
