"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1616457600,1609632000,1617019326,2021-03-29
187844,1609718400,1616457600,1610236800,1617019326,2021-03-29
329004,1610323200,1616457600,1610841600,1617019326,2021-03-29
517161,1610928000,1616457600,1611446400,1617019326,2021-03-29
604970,1611532800,1616457600,1612051200,1617019326,2021-03-29
805496,1612137600,1616457600,1612656000,1617019326,2021-03-29
1031900,1612742400,1616457600,1613260800,1617019326,2021-03-29
1309832,1613347200,1616457600,1613865600,1617019326,2021-03-29
1633250,1613952000,1616457600,1614470400,1617019326,2021-03-29
2032687,1614556800,1616457600,1615075200,1617019326,2021-03-29
2436190,1615161600,1616457600,1615680000,1617019326,2021-03-29
2734328,1615766400,1616457600,1616284800,1617019326,2021-03-29
