"date","Overleden","Ontslagen","Overleden_pdag","Ontslagen_pdag"
"2020-02-27",0,3,0,0
"2020-02-28",0,4,0,1
"2020-02-29",0,4,0,0
"2020-03-01",0,4,0,0
"2020-03-02",0,5,0,1
"2020-03-03",0,6,0,1
"2020-03-04",0,8,0,2
"2020-03-05",0,9,0,1
"2020-03-06",0,9,0,0
"2020-03-07",1,10,1,1
"2020-03-08",2,14,1,4
"2020-03-09",2,20,0,6
"2020-03-10",2,27,0,7
"2020-03-11",4,33,2,6
"2020-03-12",6,40,2,7
"2020-03-13",11,50,5,10
"2020-03-14",20,63,9,13
"2020-03-15",28,77,8,14
"2020-03-16",37,121,9,44
"2020-03-17",51,159,14,38
"2020-03-18",65,204,14,45
"2020-03-19",82,258,17,54
"2020-03-20",108,334,26,76
"2020-03-21",141,423,33,89
"2020-03-22",176,500,35,77
"2020-03-23",226,607,50,107
"2020-03-24",264,768,38,161
"2020-03-25",320,938,56,170
"2020-03-26",385,1154,65,216
"2020-03-27",437,1434,52,280
"2020-03-28",519,1635,82,201
"2020-03-29",580,1837,61,202
"2020-03-30",640,2130,60,293
"2020-03-31",721,2456,81,326
"2020-04-01",782,2746,61,290
"2020-04-02",841,3033,59,287
"2020-04-03",892,3349,51,316
"2020-04-04",952,3540,60,191
"2020-04-05",998,3730,46,190
"2020-04-06",1056,4028,58,298
"2020-04-07",1114,4307,58,279
"2020-04-08",1149,4631,35,324
"2020-04-09",1190,4889,41,258
"2020-04-10",1236,5157,46,268
"2020-04-11",1288,5310,52,153
"2020-04-12",1312,5462,24,152
"2020-04-13",1345,5587,33,125
"2020-04-14",1381,5758,36,171
"2020-04-15",1411,5947,30,189
"2020-04-16",1442,6106,31,159
"2020-04-17",1478,6288,36,182
"2020-04-18",1496,6379,18,91
"2020-04-19",1510,6441,14,62
"2020-04-20",1534,6583,24,142
"2020-04-21",1555,6733,21,150
"2020-04-22",1581,6857,26,124
"2020-04-23",1602,6983,21,126
"2020-04-24",1624,7137,22,154
"2020-04-25",1642,7207,18,70
"2020-04-26",1658,7275,16,68
"2020-04-27",1671,7348,13,73
"2020-04-28",1696,7445,25,97
"2020-04-29",1706,7525,10,80
"2020-04-30",1719,7616,13,91
"2020-05-01",1730,7712,11,96
"2020-05-02",1741,7756,11,44
"2020-05-03",1753,7773,12,17
"2020-05-04",1762,7857,9,84
"2020-05-05",1772,7897,10,40
"2020-05-06",1779,7960,7,63
"2020-05-07",1787,8028,8,68
"2020-05-08",1798,8092,11,64
"2020-05-09",1806,8133,8,41
"2020-05-10",1814,8157,8,24
"2020-05-11",1822,8220,8,63
"2020-05-12",1828,8282,6,62
"2020-05-13",1836,8339,8,57
"2020-05-14",1843,8392,7,53
"2020-05-15",1851,8443,8,51
"2020-05-16",1857,8461,6,18
"2020-05-17",1861,8471,4,10
"2020-05-18",1866,8511,5,40
"2020-05-19",1870,8556,4,45
"2020-05-20",1872,8602,2,46
"2020-05-21",1873,8616,1,14
"2020-05-22",1878,8665,5,49
"2020-05-23",1881,8695,3,30
"2020-05-24",1884,8712,3,17
"2020-05-25",1889,8741,5,29
"2020-05-26",1899,8784,10,43
"2020-05-27",1908,8818,9,34
"2020-05-28",1910,8844,2,26
"2020-05-29",1913,8877,3,33
"2020-05-30",1919,8893,6,16
"2020-05-31",1923,8903,4,10
"2020-06-01",1929,8915,6,12
"2020-06-02",1936,8935,7,20
"2020-06-03",1938,8968,2,33
"2020-06-04",1943,8998,5,30
"2020-06-05",1947,9032,4,34
"2020-06-06",1949,9044,2,12
"2020-06-07",1954,9055,5,11
"2020-06-08",1960,9083,6,28
"2020-06-09",1964,9104,4,21
"2020-06-10",1965,9120,1,16
"2020-06-11",1967,9131,2,11
"2020-06-12",1969,9152,2,21
"2020-06-13",1971,9159,2,7
"2020-06-14",1971,9165,0,6
"2020-06-15",1972,9175,1,10
"2020-06-16",1974,9191,2,16
"2020-06-17",1974,9204,0,13
"2020-06-18",1975,9217,1,13
"2020-06-19",1976,9239,1,22
"2020-06-20",1976,9248,0,9
"2020-06-21",1977,9255,1,7
"2020-06-22",1977,9266,0,11
"2020-06-23",1977,9282,0,16
"2020-06-24",1978,9287,1,5
"2020-06-25",1980,9296,2,9
"2020-06-26",1982,9315,2,19
"2020-06-27",1983,9320,1,5
"2020-06-28",1984,9323,1,3
"2020-06-29",1986,9341,2,18
"2020-06-30",1986,9352,0,11
"2020-07-01",1989,9360,3,8
"2020-07-02",1990,9365,1,5
"2020-07-03",1990,9376,0,11
"2020-07-04",1991,9379,1,3
"2020-07-05",1991,9381,0,2
"2020-07-06",1991,9384,0,3
"2020-07-07",1991,9391,0,7
"2020-07-08",1993,9397,2,6
"2020-07-09",1993,9399,0,2
"2020-07-10",1993,9408,0,9
"2020-07-11",1996,9410,3,2
"2020-07-12",1996,9412,0,2
"2020-07-13",1997,9418,1,6
"2020-07-14",1998,9427,1,9
"2020-07-15",2001,9434,3,7
"2020-07-16",2002,9441,1,7
"2020-07-17",2002,9447,0,6
"2020-07-18",2002,9451,0,4
"2020-07-19",2003,9455,1,4
"2020-07-20",2005,9464,2,9
"2020-07-21",2005,9478,0,14
"2020-07-22",2005,9486,0,8
"2020-07-23",2005,9494,0,8
"2020-07-24",2006,9502,1,8
"2020-07-25",2006,9504,0,2
"2020-07-26",2006,9506,0,2
"2020-07-27",2007,9514,1,8
"2020-07-28",2009,9526,2,12
"2020-07-29",2009,9538,0,12
"2020-07-30",2009,9546,0,8
"2020-07-31",2009,9553,0,7
"2020-08-01",2009,9556,0,3
"2020-08-02",2009,9563,0,7
"2020-08-03",2010,9576,1,13
"2020-08-04",2011,9590,1,14
"2020-08-05",2011,9602,0,12
"2020-08-06",2011,9610,0,8
"2020-08-07",2012,9622,1,12
"2020-08-08",2012,9630,0,8
"2020-08-09",2015,9635,3,5
"2020-08-10",2016,9644,1,9
"2020-08-11",2016,9656,0,12
"2020-08-12",2017,9676,1,20
"2020-08-13",2018,9690,1,14
"2020-08-14",2020,9709,2,19
"2020-08-15",2022,9718,2,9
"2020-08-16",2023,9725,1,7
"2020-08-17",2023,9742,0,17
"2020-08-18",2023,9755,0,13
"2020-08-19",2024,9766,1,11
