Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-06-25T09:50:30Z,2020-11-30,B.1.1.7,Alpha,VOC,108,1
1,2021-06-25T09:50:30Z,2020-11-30,B.1.351,Beta,VOC,108,0
1,2021-06-25T09:50:30Z,2020-11-30,P.1,Gamma,VOC,108,0
1,2021-06-25T09:50:30Z,2020-11-30,B.1.617.2,Delta,VOC,108,0
1,2021-06-25T09:50:30Z,2020-11-30,B.1.525,Eta,VOI,108,0
1,2021-06-25T09:50:30Z,2020-11-30,B.1.427/B.1.429,Epsilon,VOI,108,0
1,2021-06-25T09:50:30Z,2020-11-30,P.3,Theta,VOI,108,0
1,2021-06-25T09:50:30Z,2020-11-30,B.1.617.1,Kappa,VOI,108,0
1,2021-06-25T09:50:30Z,2020-11-30,C.37,Lambda,VUM,108,0
1,2021-06-25T09:50:30Z,2020-11-30,B.1.526,Iota,VUM,108,0
1,2021-06-25T09:50:30Z,2020-11-30,P.2,Zeta,VUM,108,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.1.7,Alpha,VOC,127,1
1,2021-06-25T09:50:30Z,2020-12-07,B.1.351,Beta,VOC,127,0
1,2021-06-25T09:50:30Z,2020-12-07,P.1,Gamma,VOC,127,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.617.2,Delta,VOC,127,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.525,Eta,VOI,127,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.427/B.1.429,Epsilon,VOI,127,0
1,2021-06-25T09:50:30Z,2020-12-07,P.3,Theta,VOI,127,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.617.1,Kappa,VOI,127,0
1,2021-06-25T09:50:30Z,2020-12-07,C.37,Lambda,VUM,127,0
1,2021-06-25T09:50:30Z,2020-12-07,B.1.526,Iota,VUM,127,0
1,2021-06-25T09:50:30Z,2020-12-07,P.2,Zeta,VUM,127,0
1,2021-06-25T09:50:30Z,2020-12-14,B.1.1.7,Alpha,VOC,203,1
1,2021-06-25T09:50:30Z,2020-12-14,B.1.351,Beta,VOC,203,0
