Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-07-09T13:06:48Z,2020-11-30,B.1.1.7,Alpha,VOC,108,1
1,2021-07-09T13:06:48Z,2020-11-30,B.1.1.7+S:E484K,"",VOC,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.351,Beta,VOC,108,0
1,2021-07-09T13:06:48Z,2020-11-30,P.1,Gamma,VOC,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.617.2,Delta,VOC,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.525,Eta,VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.427/B.1.429,"",VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,P.3,"",VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.616,"",VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.617.1,Kappa,VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.620,"",VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.621,"",VOI,108,0
1,2021-07-09T13:06:48Z,2020-11-30,C.37,Lambda,VUM,108,0
1,2021-07-09T13:06:48Z,2020-11-30,B.1.526,Iota,VUM,108,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.1.7,Alpha,VOC,127,1
1,2021-07-09T13:06:48Z,2020-12-07,B.1.1.7+S:E484K,"",VOC,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.351,Beta,VOC,127,0
1,2021-07-09T13:06:48Z,2020-12-07,P.1,Gamma,VOC,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.617.2,Delta,VOC,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.525,Eta,VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.427/B.1.429,"",VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,P.3,"",VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.616,"",VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.617.1,Kappa,VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.620,"",VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.621,"",VOI,127,0
1,2021-07-09T13:06:48Z,2020-12-07,C.37,Lambda,VUM,127,0
1,2021-07-09T13:06:48Z,2020-12-07,B.1.526,Iota,VUM,127,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.1.7,Alpha,VOC,203,1
1,2021-07-09T13:06:48Z,2020-12-14,B.1.1.7+S:E484K,"",VOC,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.351,Beta,VOC,203,0
1,2021-07-09T13:06:48Z,2020-12-14,P.1,Gamma,VOC,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.617.2,Delta,VOC,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.525,Eta,VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.427/B.1.429,"",VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,P.3,"",VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.616,"",VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.617.1,Kappa,VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.620,"",VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.621,"",VOI,203,0
1,2021-07-09T13:06:48Z,2020-12-14,C.37,Lambda,VUM,203,0
1,2021-07-09T13:06:48Z,2020-12-14,B.1.526,Iota,VUM,203,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.1.7,Alpha,VOC,257,5
1,2021-07-09T13:06:48Z,2020-12-21,B.1.1.7+S:E484K,"",VOC,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.351,Beta,VOC,257,1
1,2021-07-09T13:06:48Z,2020-12-21,P.1,Gamma,VOC,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.617.2,Delta,VOC,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.525,Eta,VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.427/B.1.429,"",VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,P.3,"",VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.616,"",VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.617.1,Kappa,VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.620,"",VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.621,"",VOI,257,0
1,2021-07-09T13:06:48Z,2020-12-21,C.37,Lambda,VUM,257,0
1,2021-07-09T13:06:48Z,2020-12-21,B.1.526,Iota,VUM,257,0
1,2021-07-09T13:06:48Z,2020-12-28,B.1.1.7,Alpha,VOC,209,9
1,2021-07-09T13:06:48Z,2020-12-28,B.1.1.7+S:E484K,"",VOC,209,0
1,2021-07-09T13:06:48Z,2020-12-28,B.1.351,Beta,VOC,209,1
